ind,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oi,Tim,Tim,Tim,Tim,Tim,Tim,Tim,Oi,Oi,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oi,Tim,Tim,Tim,Tim,Tim,Tim,Tim,Oi,Oi,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oi,Tim,Tim,Tim,Tim,Tim,Tim,Tim,Oi,Oi,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oi,Tim,Tim,Tim,Tim,Tim,Tim,Tim,Oi,Oi,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oi,Tim,Tim,Tim,Tim,Tim,Tim,Tim,Oi,Oi,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oi,Tim,Tim,Tim,Tim,Tim,Tim,Tim,Oi,Oi,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oi,Tim,Tim,Tim,Tim,Tim,Tim,Tim,Oi,Oi,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oi,Tim,Tim,Tim,Tim,Tim,Tim,Tim,Oi,Oi,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oi,Tim,Tim,Tim,Tim,Tim,Tim,Tim,Oi,Oi,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claro,Claro,Claro,Claro,,,Oi,Oi,,,Tim,Tim,Tim,Tim,,Telemig Celular,Telemig Celular,Telemig Celular,Telemig Celular
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claro,Claro,Claro,Claro,,,Oi,Oi,,,Tim,Tim,Tim,Tim,,Telemig Celular,Telemig Celular,Telemig Celular,Telemig Celular
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claro,Claro,Claro,Claro,,,Oi,Oi,,,Tim,Tim,Tim,Tim,,Telemig Celular,Telemig Celular,Telemig Celular,Telemig Celular
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claro,Claro,Claro,Claro,,,Oi,Oi,,,Tim,Tim,Tim,Tim,,Telemig Celular,Telemig Celular,Telemig Celular,Telemig Celular
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claro,Claro,Claro,Claro,,,Oi,Oi,,,Tim,Tim,Tim,Tim,,Telemig Celular,Telemig Celular,Telemig Celular,Telemig Celular
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claro,Claro,Claro,Claro,,,Oi,Oi,,,Tim,Tim,Tim,Tim,,Telemig Celular,Telemig Celular,Telemig Celular,Telemig Celular
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claro,Claro,Claro,Claro,,,Oi,Oi,,,Tim,Tim,Tim,Tim,,Telemig Celular,Telemig Celular,Telemig Celular,Telemig Celular
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claro,Claro,Claro,Claro,,,Oi,Oi,,,Tim,Tim,Tim,Tim,,Telemig Celular,Telemig Celular,Telemig Celular,Telemig Celular
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brasil Telecon,Brasil Telecon,,Claro,Claro,,,Vivo,Vivo,Vivo,Vivo,,Tim,Tim,Tim,Tim
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brasil Telecon,Brasil Telecon,,Claro,Claro,,,Vivo,Vivo,Vivo,Vivo,,Tim,Tim,Tim,Tim
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brasil Telecon,Brasil Telecon,,Claro,Claro,,,Vivo,Vivo,Vivo,Vivo,,Tim,Tim,Tim,Tim
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brasil Telecon,Brasil Telecon,,Claro,Claro,,,Vivo,Vivo,Vivo,Vivo,,Tim,Tim,Tim,Tim
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brasil Telecon,Brasil Telecon,,Claro,Claro,,,Vivo,Vivo,Vivo,Vivo,,Tim,Tim,Tim,Tim
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brasil Telecon,Brasil Telecon,,Claro,Claro,,,Vivo,Vivo,Vivo,Vivo,,Tim,Tim,Tim,Tim
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brasil Telecon,Brasil Telecon,,Claro,Claro,,,Vivo,Vivo,Vivo,Vivo,,Tim,Tim,Tim,Tim
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brasil Telecon,Brasil Telecon,,Claro,Claro,,,Vivo,Vivo,Vivo,Vivo,,Tim,Tim,Tim,Tim
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brasil Telecon,Brasil Telecon,,Claro,Claro,,,Vivo,Vivo,Vivo,Vivo,,Tim,Tim,Tim,Tim
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,,,Brasil Telecon,Brasil Telecon,,,,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,,,Brasil Telecon,Brasil Telecon,,,,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,,,Brasil Telecon,Brasil Telecon,,,,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,,,Brasil Telecon,Brasil Telecon,,,,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,,,Brasil Telecon,Brasil Telecon,,,,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,,,Brasil Telecon,Brasil Telecon,,,,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,,,Brasil Telecon,Brasil Telecon,,,,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,,,Brasil Telecon,Brasil Telecon,,,,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,,,Brasil Telecon,Brasil Telecon,,,,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,,,Brasil Telecon,Brasil Telecon,,,,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,,,Brasil Telecon,Brasil Telecon,,,,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,,,Brasil Telecon,Brasil Telecon,,,,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,,,Brasil Telecon,Brasil Telecon,,,,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,,,Brasil Telecon,Brasil Telecon,,,,,,Claro,Claro,Claro,Claro,,Vivo,Vivo,Vivo,Vivo
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claro,Claro,Claro,,,,Oi,Oi,,,Tim,Tim,Tim,Tim,,Vivo,Vivo,Vivo,Vivo
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claro,Claro,Claro,,,,Oi,Oi,,,Tim,Tim,Tim,Tim,,Vivo,Vivo,Vivo,Vivo
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claro,Claro,Claro,,,,Oi,Oi,,,Tim,Tim,Tim,Tim,,Vivo,Vivo,Vivo,Vivo
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claro,Claro,Claro,,,,Oi,Oi,,,Tim,Tim,Tim,Tim,,Vivo,Vivo,Vivo,Vivo
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claro,Claro,Claro,,,,Oi,Oi,,,Tim,Tim,Tim,Tim,,Vivo,Vivo,Vivo,Vivo
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claro,Claro,Claro,,,,Oi,Oi,,,Tim,Tim,Tim,Tim,,Vivo,Vivo,Vivo,Vivo
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claro,Claro,Claro,,,,Oi,Oi,,,Tim,Tim,Tim,Tim,,Vivo,Vivo,Vivo,Vivo
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claro,Claro,Claro,,,,Oi,Oi,,,Tim,Tim,Tim,Tim,,Vivo,Vivo,Vivo,Vivo
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claro,Claro,Claro,,,,Oi,Oi,,,Tim,Tim,Tim,Tim,,Vivo,Vivo,Vivo,Vivo
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vivo,Vivo,Vivo,Vivo,Vivo,Vivo,Vivo,Oi,Oi,Vivo,,Claro,Claro,Claro,Claro,,Tim,Tim,Tim,Tim
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vivo,Vivo,Vivo,Vivo,Vivo,Vivo,Vivo,Oi,Oi,Vivo,,Claro,Claro,Claro,Claro,,Tim,Tim,Tim,Tim
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vivo,Vivo,Vivo,Vivo,Vivo,Vivo,Vivo,Oi,Oi,Vivo,,Claro,Claro,Claro,Claro,,Tim,Tim,Tim,Tim
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vivo,Vivo,Vivo,Vivo,Vivo,Vivo,Vivo,Oi,Oi,Vivo,,Claro,Claro,Claro,Claro,,Tim,Tim,Tim,Tim
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vivo,Vivo,Vivo,Vivo,Vivo,Vivo,Vivo,Oi,Oi,Vivo,,Claro,Claro,Claro,Claro,,Tim,Tim,Tim,Tim
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vivo,Vivo,Vivo,Vivo,Vivo,Vivo,Vivo,Oi,Oi,Vivo,,Claro,Claro,Claro,Claro,,Tim,Tim,Tim,Tim
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vivo,Vivo,Vivo,Vivo,Vivo,Vivo,Vivo,Oi,Oi,Vivo,,Claro,Claro,Claro,Claro,,Tim,Tim,Tim,Tim
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vivo,Vivo,Vivo,Vivo,Vivo,Vivo,Vivo,Oi,Oi,Vivo,,Claro,Claro,Claro,Claro,,Tim,Tim,Tim,Tim
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vivo,Vivo,Vivo,Vivo,Vivo,Vivo,Vivo,Oi,Oi,Vivo,,Claro,Claro,Claro,Claro,,Tim,Tim,Tim,Tim
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Vivo,Vivo,Vivo,Vivo,,Amazônia Celular,Amazônia Celular,Amazônia Celular,Amazônia Celular
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Vivo,Vivo,Vivo,Vivo,,Amazônia Celular,Amazônia Celular,Amazônia Celular,Amazônia Celular
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Vivo,Vivo,Vivo,Vivo,,Amazônia Celular,Amazônia Celular,Amazônia Celular,Amazônia Celular
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Vivo,Vivo,Vivo,Vivo,,Amazônia Celular,Amazônia Celular,Amazônia Celular,Amazônia Celular
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Vivo,Vivo,Vivo,Vivo,,Amazônia Celular,Amazônia Celular,Amazônia Celular,Amazônia Celular
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Vivo,Vivo,Vivo,Vivo,,Amazônia Celular,Amazônia Celular,Amazônia Celular,Amazônia Celular
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Vivo,Vivo,Vivo,Vivo,,Amazônia Celular,Amazônia Celular,Amazônia Celular,Amazônia Celular
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Vivo,Vivo,Vivo,Vivo,,Amazônia Celular,Amazônia Celular,Amazônia Celular,Amazônia Celular
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tim,Tim,Tim,Tim,,,,Oi,Oi,,,Vivo,Vivo,Vivo,Vivo,,Amazônia Celular,Amazônia Celular,Amazônia Celular,Amazônia Celular
